447444.186,1698490.554,1,R3-15
447449.611,1698504.016,2,W6-1
447449.611,1698504.016,4,W6-4
447455.611,1698504.016,6,R1-1
447449.611,1698477.056,3,W6-1
447449.611,1698477.056,5,W6-4
447505.611,1698503.976,7,R1-1
447859.343,1698476.748,8,R2-7
447915.359,1698476.554,9,R1-1
447965.359,1698476.515,10,R1-1
447971.359,1698476.511,11,W6-1
447971.359,1698476.511,12,W6-4
447983.524,1698475.419,16,R2-8
447991.333,1698468.032,17,W6-1
447991.333,1698468.032,18,W6-4
447976.492,1698490.137,15,R3-15
447971.38,1698503.621,13,W6-1
447971.38,1698503.621,14,W6-4
448004.567,1698521.312,20,W6-1
448004.567,1698521.312,21,W6-4
448004.567,1698527.312,22,R1-1
448031.385,1698527.312,26,W4-1
448031.535,1698521.312,28,W6-1
448031.535,1698521.312,29,W6-4
448066.468,1698507.29,35,W6-1
448066.468,1698507.29,36,W6-4
448072.468,1698507.29,37,R1-1
448061.24,1698490.074,32,R3-15
448066.441,1698472.849,33,W6-1
448066.441,1698472.849,34,W6-4
448048.548,1698468.032,30,W6-1
448048.548,1698468.032,31,W6-4
448122.468,1698507.251,38,R1-1
448031.385,1698626.346,27,W5-4
448004.567,1698626.346,23,W4-1
448004.599,1699103.535,24,W5-5
448003.735,1699106.535,19,W6-1
448031.381,1699106.535,25,W6-1
448565.882,1698472.167,39,R1-1
448615.882,1698472.167,40,R1-1
448621.88,1698471.57,41,W6-1
448621.88,1698471.57,42,W6-4
448621.883,1698507.711,43,W6-1
448621.883,1698507.711,44,W6-4
448662.057,1698527.312,45,W4-1
448676.898,1698508.775,48,W6-1
448676.898,1698507.29,49,W6-4
448682.898,1698507.29,50,R1-1
448682.898,1698472.644,51,W1-3
448676.872,1698472.644,46,W6-1
448676.872,1698472.644,47,W6-4
448732.898,1698507.401,57,R1-1
448845.768,1698412.784,60,W1-3
448966.361,1698164.354,65,R2-7
449013.765,1698104.968,73,R1-1
449000.609,1698085.567,71,W6-1
449000.609,1698085.567,72,W6-4
448967.902,1698045.029,66,R1-1
448962.99,1698041.583,63,W6-1
448962.99,1698041.583,64,W6-4
448977.804,1698020.423,68,W6-1
448977.804,1698020.423,69,W6-4
448972.892,1698016.977,67,R1-1
448982.455,1698024.241,70,R2-6P
449024.92,1697998.435,74,R2-6P
449034.662,1697949.383,75,R2-6P
448905.825,1697968.804,62,R2-7
448877.837,1697982.067,61,W1-3
448739.898,1697936.118,58,R1-1
448740.075,1697909.293,59,W1-3
448683.979,1697909.293,54,W6-1
448683.979,1697909.293,55,W6-4
448683.898,1697936.162,52,W6-1
448683.898,1697936.162,53,W6-4
448689.898,1697936.162,56,R1-1
449042.676,1697741.425,76,R1-1
449052.589,1697692.417,77,R1-1
449053.779,1697686.536,78,W6-1
449053.779,1697686.536,79,W6-4
449086.975,1697693.251,82,W6-1
449086.975,1697693.251,83,W6-4
449102.197,1697618.148,89,W6-1
449102.197,1697618.148,90,W6-4
449103.386,1697612.267,91,R1-1
449068.972,1697611.427,80,W6-1
449068.972,1697611.427,81,W6-4
449113.299,1697563.259,95,R1-1
449099.333,1697462.082,84,R1-1
449109.172,1697412.005,94,R1-1
449108.473,1697406.082,92,W6-1
449108.473,1697406.082,93,W6-4
449145.339,1697406.318,107,W6-1
449145.339,1697406.318,108,W6-4
449154.72,1697355.71,117,W6-1
449154.72,1697355.71,118,W6-4
449153.138,1697349.71,115,R1-1
449116.519,1697355.71,98,W6-1
449116.519,1697355.71,99,W6-4
449153.138,1697299.71,116,R1-1
449116.798,1697182.474,102,R1-1
449116.798,1697132.474,103,R1-1
449116.798,1697126.474,100,W6-1
449116.798,1697126.474,101,W6-4
449150.37,1697131.459,113,W6-1
449150.37,1697131.459,114,W6-4
449148.19,1697075.955,110,W6-1
449148.19,1697075.955,111,W6-4
449148.19,1697069.955,112,R1-1
449115.45,1697076.972,96,W6-1
449115.45,1697076.972,97,W6-4
449146.939,1697019.955,109,R1-1
449100.502,1696602.676,87,R1-1
449100.502,1696552.676,88,R1-1
449100.502,1696546.676,85,W6-1
449100.502,1696546.676,86,W6-4
449134.28,1696545.514,105,W6-1
449134.28,1696545.514,106,W6-4
449127.035,1698156.463,104,W4-1
